iter	Passed	Remaining
412	5068	797
413	5081	785
414	5095	773
415	5108	761
416	5121	749
417	5135	737
418	5148	725
419	5161	712
420	5174	700
421	5187	688
422	5201	676
423	5216	664
424	5230	652
425	5246	640
426	5260	628
427	5273	616
428	5289	604
429	5302	591
430	5313	579
431	5324	566
432	5333	554
433	5343	541
434	5351	528
435	5359	516
436	5369	503
437	5377	491
438	5385	478
439	5393	465
440	5403	453
441	5412	440
442	5420	428
443	5428	415
444	5437	403
445	5446	390
446	5454	378
447	5463	365
448	5471	353
449	5478	340
450	5487	328
451	5495	316
452	5503	303
453	5512	291
454	5520	279
455	5528	266
456	5536	254
457	5545	242
458	5555	229
459	5562	217
460	5573	205
461	5582	193
462	5592	181
463	5601	168
464	5609	156
465	5617	144
466	5625	132
467	5633	120
468	5640	108
469	5649	96
470	5657	84
471	5666	72
472	5675	59
473	5683	47
474	5692	35
475	5702	23
476	5710	11
477	5719	0
