iter	Passed	Remaining
407	4514	1018
408	4525	1006
409	4535	995
410	4544	984
411	4554	972
412	4566	962
413	4575	950
414	4585	939
415	4594	927
416	4603	916
417	4613	905
418	4622	893
419	4632	882
420	4641	871
421	4652	859
422	4663	848
423	4673	837
424	4682	826
425	4694	815
426	4704	804
427	4715	793
428	4724	781
429	4735	770
430	4746	759
431	4756	748
432	4769	737
433	4779	726
434	4788	715
435	4798	704
436	4806	692
437	4816	681
438	4827	670
439	4837	659
440	4847	648
441	4857	637
442	4866	626
443	4879	615
444	4889	604
445	4899	593
446	4909	582
447	4918	570
448	4927	559
449	4938	548
450	4947	537
451	4957	526
452	4966	515
453	4975	504
454	4985	493
455	5005	482
456	5017	472
457	5029	461
458	5039	450
459	5048	438
460	5059	427
461	5070	417
462	5080	406
463	5090	394
464	5099	383
465	5109	372
466	5119	361
467	5127	350
468	5137	339
469	5149	328
470	5158	317
471	5168	306
472	5180	295
473	5191	284
474	5199	273
475	5208	262
476	5218	251
477	5230	240
478	5239	229
479	5249	218
480	5259	207
481	5271	196
482	5282	185
483	5293	174
484	5303	164
485	5313	153
486	5322	142
487	5332	131
488	5341	120
489	5350	109
490	5359	98
491	5368	87
492	5377	76
493	5387	65
494	5396	54
495	5406	43
496	5414	32
497	5423	21
498	5431	10
499	5441	0
